localtime,time,symbol,signal,signal_sim,SameFlag
09:35:52.507722766,09:35:52.000000000,sh603988,-4.13684,-4.13684,1
09:35:55.528136543,09:35:55.000000000,sh603988,-9.06759,-9.06759,1
09:35:58.518141009,09:35:58.000000000,sh603988,-9.06151,-9.06151,1
09:36:01.515725205,09:36:01.000000000,sh603988,-17.49,-16.49,0
09:36:04.180867736,09:36:04.000000000,sh603988,-9.87326,-8.87326,0
09:36:07.169089685,09:36:07.000000000,sh603988,-6.00858,-5.00858,0
09:36:10.181345297,09:36:10.000000000,sh603988,-18.4883,-17.4883,0
09:36:13.180050269,09:36:13.000000000,sh603988,-15.1599,-14.1599,0
09:36:16.170200484,09:36:16.000000000,sh603988,-5.82252,-4.82252,0
09:36:19.178040253,09:36:19.000000000,sh603988,-6.90607,-5.90607,0
09:36:22.181817359,09:36:22.000000000,sh603988,-4.73894,-3.7389400000000004,0
09:36:25.180375916,09:36:25.000000000,sh603988,-6.20561,-5.20561,0
09:36:28.172239619,09:36:28.000000000,sh603988,-5.93548,-4.93548,0
09:36:32.055880616,09:36:32.000000000,sh603988,-4.18741,-3.18741,0
09:36:35.057294333,09:36:35.000000000,sh603988,-9.8887,-8.8887,0
09:36:38.059863595,09:36:38.000000000,sh603988,1.85287,2.8528700000000002,0
09:36:40.844303081,09:36:40.000000000,sh603988,-8.67682,-7.676819999999999,0
09:36:43.843592027,09:36:43.000000000,sh603988,-5.67549,-4.67549,0
09:36:46.835814139,09:36:46.000000000,sh603988,-9.62385,-8.62385,0
09:36:49.633846924,09:36:49.000000000,sh603988,-3.12235,-2.12235,0
09:36:52.556087793,09:36:52.000000000,sh603988,3.17064,4.170640000000001,0
09:36:55.553205782,09:36:55.000000000,sh603988,8.81076,9.81076,0
09:36:58.549497769,09:36:58.000000000,sh603988,0.690987,1.690987,0
09:37:01.502011487,09:37:01.000000000,sh603988,1.1678,2.1677999999999997,0
09:37:04.174975478,09:37:04.000000000,sh603988,-5.13048,-4.13048,0
09:37:07.394003497,09:37:07.000000000,sh603988,-6.3562,-5.3562,0
09:37:10.388795416,09:37:10.000000000,sh603988,-8.17964,-7.179639999999999,0
09:37:13.393855271,09:37:13.000000000,sh603988,-5.0453800000000015,-4.0453800000000015,0
09:37:16.394433320,09:37:16.000000000,sh603988,-5.11576,-4.11576,0
09:37:19.919689324,09:37:19.000000000,sh603988,-11.3013,-10.3013,0
09:37:22.923884835,09:37:22.000000000,sh603988,-12.9621,-11.9621,0
09:37:25.921387679,09:37:25.000000000,sh603988,-5.00079,-4.00079,0
09:37:28.924948178,09:37:28.000000000,sh603988,-13.3847,-12.3847,0
09:37:31.918482395,09:37:31.000000000,sh603988,-4.63315,-3.6331499999999997,0
09:37:34.920175913,09:37:34.000000000,sh603988,-12.6724,-11.6724,0
09:37:37.914930406,09:37:37.000000000,sh603988,-5.58809,-4.58809,0
09:37:40.918383095,09:37:40.000000000,sh603988,0.456122,1.4561220000000001,0
09:37:43.917955904,09:37:43.000000000,sh603988,5.27825,6.27825,0
09:37:46.920931311,09:37:46.000000000,sh603988,3.14269,4.14269,0
09:37:49.915546417,09:37:49.000000000,sh603988,-4.0383,-3.0382999999999996,0
09:37:55.927435035,09:37:55.000000000,sh603988,-9.89373,-8.89373,0
09:37:58.926873715,09:37:58.000000000,sh603988,-3.24971,-2.24971,0
09:38:01.922422298,09:38:01.000000000,sh603988,-7.129760000000001,-6.129760000000001,0
09:38:04.596945797,09:38:04.000000000,sh603988,-12.4062,-11.4062,0
09:38:07.594142141,09:38:07.000000000,sh603988,-11.6745,-10.6745,0
09:38:10.579563928,09:38:10.000000000,sh603988,-11.9387,-10.9387,0
09:38:13.591286698,09:38:13.000000000,sh603988,-26.8864,-25.8864,0
09:38:16.584694364,09:38:16.000000000,sh603988,-20.8969,-19.8969,0
09:38:19.587716572,09:38:19.000000000,sh603988,-36.2144,-35.2144,0
09:38:22.589568111,09:38:22.000000000,sh603988,-14.6677,-13.6677,0
09:38:25.594184880,09:38:25.000000000,sh603988,-17.9366,-16.9366,0
09:38:28.590311217,09:38:28.000000000,sh603988,-18.1847,-17.1847,0
09:38:31.596147711,09:38:31.000000000,sh603988,-7.87201,-6.87201,0
09:38:34.530748396,09:38:34.000000000,sh603988,-15.2361,-14.2361,0
09:38:37.523500605,09:38:37.000000000,sh603988,-3.3324199999999995,-2.3324199999999995,0
09:38:40.520340714,09:38:40.000000000,sh603988,-6.11774,-5.11774,0
09:38:43.526514770,09:38:43.000000000,sh603988,-9.51064,-8.51064,0
09:38:46.534825792,09:38:46.000000000,sh603988,-1.97816,-0.9781599999999999,0
09:38:49.540165203,09:38:49.000000000,sh603988,3.23817,4.23817,0
09:38:52.542699033,09:38:52.000000000,sh603988,2.4262200000000003,3.4262200000000003,0
09:38:55.531454425,09:38:55.000000000,sh603988,-1.57319,-0.5731900000000001,0
09:38:58.518686758,09:38:58.000000000,sh603988,4.5818900000000005,5.5818900000000005,0
09:39:01.526684557,09:39:01.000000000,sh603988,-0.278897,0.721103,0
09:39:04.530514604,09:39:04.000000000,sh603988,17.4073,18.4073,0
09:39:07.193766460,09:39:07.000000000,sh603988,3.34877,4.34877,0
09:39:10.194941500,09:39:10.000000000,sh603988,18.2522,19.2522,0
09:39:13.190302351,09:39:13.000000000,sh603988,19.881,20.881,0
09:39:16.188558933,09:39:16.000000000,sh603988,14.6887,15.6887,0
09:39:19.190295903,09:39:19.000000000,sh603988,14.5739,15.5739,0
09:39:22.185260602,09:39:22.000000000,sh603988,0.311672,1.311672,0
09:39:25.191977742,09:39:25.000000000,sh603988,0.227296,1.227296,0
09:39:28.187450853,09:39:28.000000000,sh603988,2.36133,3.36133,0
09:39:31.185146813,09:39:31.000000000,sh603988,7.396560000000001,8.396560000000001,0
09:39:34.195271722,09:39:34.000000000,sh603988,15.1954,16.1954,0
09:39:37.191213350,09:39:37.000000000,sh603988,15.7095,16.7095,0
09:39:41.073557009,09:39:41.000000000,sh603988,2.82758,3.82758,0
09:39:44.015322340,09:39:44.000000000,sh603988,7.415839999999998,8.41584,0
09:39:47.013826878,09:39:47.000000000,sh603988,14.2585,15.2585,0
