,localtime,time,symbol,signal,bvol1,bid1,avol1,ask1,mid,direction,volume,exposure
3907,14:15:46.758946105,14:15:46.000000000,sh600163,4.17555,95900,7.86,89100,7.87,7.865,,0.0,0.0
3908,14:15:49.422567483,14:15:49.000000000,sh600163,3.5994099999999998,92500,7.86,92700,7.87,7.865,,0.0,0.0
3909,14:15:52.845092311,14:15:52.000000000,sh600163,2.27846,93000,7.86,112200,7.87,7.865,,0.0,0.0
3910,14:15:55.848833213,14:15:55.000000000,sh600163,3.20134,93300,7.86,97100,7.87,7.865,,0.0,0.0
3911,14:15:58.657390308,14:15:58.000000000,sh600163,2.57931,89100,7.86,97100,7.87,7.865,,0.0,0.0
3912,14:16:01.734614521,14:16:01.000000000,sh600163,4.35324,90200,7.86,97300,7.87,7.865,,0.0,0.0
3913,14:16:04.735020546,14:16:04.000000000,sh600163,2.97055,90600,7.86,99200,7.87,7.865,,0.0,0.0
3914,14:16:07.737429113,14:16:07.000000000,sh600163,3.98487,91100,7.86,99100,7.87,7.865,,0.0,0.0
3915,14:16:10.406421242,14:16:10.000000000,sh600163,4.0609,112600,7.86,97200,7.87,7.865,,0.0,0.0
3916,14:16:13.518305451,14:16:13.000000000,sh600163,3.94763,112600,7.86,97200,7.87,7.865,,0.0,0.0
3917,14:16:16.515250009,14:16:16.000000000,sh600163,3.17699,112800,7.86,97200,7.87,7.865,,0.0,0.0
3918,14:16:19.515825098,14:16:19.000000000,sh600163,4.10555,112800,7.86,95600,7.87,7.865,,0.0,0.0
3919,14:16:22.259077412,14:16:22.000000000,sh600163,2.82872,112800,7.86,94600,7.87,7.865,,0.0,0.0
3920,14:16:25.262353536,14:16:25.000000000,sh600163,5.38209,112800,7.86,85600,7.87,7.865,,0.0,0.0
3921,14:16:28.212179720,14:16:28.000000000,sh600163,6.02377,112800,7.86,85600,7.87,7.865,,0.0,0.0
3922,14:16:31.211344486,14:16:31.000000000,sh600163,4.1708,114800,7.86,91100,7.87,7.865,,0.0,0.0
3923,14:16:34.219116076,14:16:34.000000000,sh600163,3.89114,123900,7.86,91100,7.87,7.865,,0.0,0.0
3924,14:16:37.208018054,14:16:37.000000000,sh600163,4.07089,123900,7.86,90600,7.87,7.865,,0.0,0.0
3925,14:16:40.200745193,14:16:40.000000000,sh600163,3.7319199999999997,127700,7.86,90100,7.87,7.865,,0.0,0.0
3926,14:16:43.207526668,14:16:43.000000000,sh600163,3.44865,128200,7.86,90100,7.87,7.865,,0.0,0.0
3927,14:16:46.671819904,14:16:46.000000000,sh600163,0.43112700000000004,128200,7.86,104696,7.87,7.865,,0.0,0.0
3928,14:16:49.414253555,14:16:49.000000000,sh600163,1.92095,128200,7.86,100796,7.87,7.865,,0.0,0.0
3929,14:16:52.240180505,14:16:52.000000000,sh600163,4.98877,128200,7.86,84096,7.87,7.865,,0.0,0.0
3930,14:16:55.258420794,14:16:55.000000000,sh600163,6.70689,133000,7.86,84096,7.87,7.865,,0.0,0.0
3931,14:16:58.253056181,14:16:58.000000000,sh600163,6.54157,144300,7.86,93996,7.87,7.865,,0.0,0.0
3932,14:17:01.255210596,14:17:01.000000000,sh600163,6.1799800000000005,144200,7.86,93696,7.87,7.865,,0.0,0.0
3933,14:17:04.786877915,14:17:04.000000000,sh600163,4.86876,145600,7.86,97096,7.87,7.865,,0.0,0.0
3934,14:17:07.791751180,14:17:07.000000000,sh600163,5.367290000000001,151600,7.86,96696,7.87,7.865,,0.0,0.0
3935,14:17:10.632582623,14:17:10.000000000,sh600163,5.26356,151600,7.86,96696,7.87,7.865,,0.0,0.0
3936,14:17:13.625803003,14:17:13.000000000,sh600163,5.86163,144000,7.86,96596,7.87,7.865,,0.0,0.0
3937,14:17:16.624852117,14:17:16.000000000,sh600163,5.41464,147200,7.86,96296,7.87,7.865,,0.0,0.0
3938,14:17:19.659187407,14:17:19.000000000,sh600163,4.47843,145500,7.86,96396,7.87,7.865,,0.0,0.0
3939,14:17:22.662175905,14:17:22.000000000,sh600163,4.3806199999999995,143300,7.86,96396,7.87,7.865,,0.0,0.0
3940,14:17:25.649735943,14:17:25.000000000,sh600163,4.13427,144300,7.86,94896,7.87,7.865,,0.0,0.0
3941,14:17:28.649816533,14:17:28.000000000,sh600163,2.57515,144300,7.86,95296,7.87,7.865,,0.0,0.0
3942,14:17:31.647616126,14:17:31.000000000,sh600163,3.0802099999999997,148300,7.86,94596,7.87,7.865,,0.0,0.0
3943,14:17:34.329263409,14:17:34.000000000,sh600163,3.4228699999999996,148800,7.86,93596,7.87,7.865,,0.0,0.0
3944,14:17:37.235769444,14:17:37.000000000,sh600163,4.92622,148800,7.86,93496,7.87,7.865,,0.0,0.0
3945,14:17:40.233371124,14:17:40.000000000,sh600163,3.39229,148800,7.86,90296,7.87,7.865,,0.0,0.0
3946,14:17:43.213595395,14:17:43.000000000,sh600163,1.20269,148700,7.86,122496,7.87,7.865,,0.0,0.0
3947,14:17:46.208280592,14:17:46.000000000,sh600163,1.8881599999999998,148700,7.86,110196,7.87,7.865,,0.0,0.0
3948,14:17:49.207291124,14:17:49.000000000,sh600163,1.11527,148300,7.86,105896,7.87,7.865,,0.0,0.0
3949,14:17:51.883181153,14:17:51.000000000,sh600163,-0.9834290000000001,148300,7.86,105896,7.87,7.865,,0.0,0.0
3950,14:17:54.546986312,14:17:54.000000000,sh600163,-1.5051700000000001,148400,7.86,105896,7.87,7.865,,0.0,0.0
3951,14:17:57.540793518,14:17:57.000000000,sh600163,-0.923047,147300,7.86,105796,7.87,7.865,,0.0,0.0
3952,14:18:01.523626520,14:18:01.000000000,sh600163,-0.12159400000000001,132600,7.86,73896,7.87,7.865,,0.0,0.0
3953,14:18:04.733372029,14:18:04.000000000,sh600163,-1.28331,133500,7.86,78096,7.87,7.865,,0.0,0.0
3954,14:18:07.736348536,14:18:07.000000000,sh600163,-1.35428,133700,7.86,79196,7.87,7.865,,0.0,0.0
3955,14:18:10.737640929,14:18:10.000000000,sh600163,6.027340000000001,120600,7.86,30296,7.87,7.865,,0.0,0.0
3956,14:18:13.563197183,14:18:13.000000000,sh600163,6.366619999999999,125600,7.86,30796,7.87,7.865,,0.0,0.0
3957,14:18:16.553835675,14:18:16.000000000,sh600163,6.48634,130100,7.86,24096,7.87,7.865,,0.0,0.0
3958,14:18:19.556068582,14:18:19.000000000,sh600163,6.28302,121900,7.86,23196,7.87,7.865,,0.0,0.0
3959,14:18:22.272011523,14:18:22.000000000,sh600163,6.92528,124400,7.86,22696,7.87,7.865,,0.0,0.0
3960,14:18:25.267460230,14:18:25.000000000,sh600163,3.8936900000000003,4604,7.87,13800,7.88,7.875,,0.0,0.0
3961,14:18:28.272384875,14:18:28.000000000,sh600163,5.65749,10604,7.87,13800,7.88,7.875,,0.0,0.0
3962,14:18:31.273602525,14:18:31.000000000,sh600163,3.67867,6900,7.87,14700,7.88,7.875,,0.0,0.0
3963,14:18:34.219624466,14:18:34.000000000,sh600163,-2.59495,1600,7.87,14300,7.88,7.875,,0.0,0.0
3964,14:18:37.205791300,14:18:37.000000000,sh600163,-6.56642,1100,7.87,25500,7.88,7.875,,0.0,0.0
3965,14:18:40.211145356,14:18:40.000000000,sh600163,0.5010939999999999,106204,7.86,24500,7.88,7.87,,0.0,0.0
3966,14:18:43.683941256,14:18:43.000000000,sh600163,1.8429200000000001,107804,7.86,24600,7.88,7.87,,0.0,0.0
3967,14:18:46.689578503,14:18:46.000000000,sh600163,-0.8330860000000001,4000,7.87,18200,7.88,7.875,,0.0,0.0
3968,14:18:49.684361227,14:18:49.000000000,sh600163,-0.0792142,4000,7.87,16200,7.88,7.875,,0.0,0.0
3969,14:18:52.349487468,14:18:52.000000000,sh600163,0.474332,5000,7.87,16200,7.88,7.875,,0.0,0.0
3970,14:18:55.786513190,14:18:55.000000000,sh600163,-3.7945300000000004,300,7.87,18100,7.88,7.875,,0.0,0.0
3971,14:18:58.778096340,14:18:58.000000000,sh600163,-5.5507800000000005,300,7.87,18900,7.88,7.875,,0.0,0.0
3972,14:19:01.781351267,14:19:01.000000000,sh600163,6.09784,117304,7.86,2300,7.87,7.865,,0.0,0.0
3973,14:19:04.786697019,14:19:04.000000000,sh600163,-0.9857,7000,7.87,19400,7.88,7.875,,0.0,0.0
3974,14:19:07.449057526,14:19:07.000000000,sh600163,0.615631,9300,7.87,19400,7.88,7.875,,0.0,0.0
3975,14:19:10.456792984,14:19:10.000000000,sh600163,2.96216,12200,7.87,12100,7.88,7.875,,0.0,0.0
3976,14:19:13.447280297,14:19:13.000000000,sh600163,7.79926,105404,7.86,2800,7.87,7.865,,0.0,0.0
3977,14:19:16.746629948,14:19:16.000000000,sh600163,4.86198,107404,7.86,2800,7.87,7.865,,0.0,0.0
3978,14:19:19.736600672,14:19:19.000000000,sh600163,5.74814,107404,7.86,2800,7.87,7.865,,0.0,0.0
3979,14:19:22.748288299,14:19:22.000000000,sh600163,-1.20969,7000,7.87,14200,7.88,7.875,,0.0,0.0
3980,14:19:25.572257076,14:19:25.000000000,sh600163,0.5039399999999999,8000,7.87,14400,7.88,7.875,,0.0,0.0
3981,14:19:28.564721434,14:19:28.000000000,sh600163,3.06413,7700,7.87,11600,7.88,7.875,,0.0,0.0
3982,14:19:31.572343644,14:19:31.000000000,sh600163,12.01,103004,7.86,200,7.87,7.865,,0.0,0.0
